ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	COGID	ALIGNMENT
9	Cacaopera	13.74	-88.11	caca1247	Misumalpan	ASH	wabu	w a b u	4	w a - b u -
61	Mayangna	14.13	-84.34	maya1285	Misumalpan	ASH	wan	w a n	4	w a n - - -
113	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	ASH	kauh	k a u h	2	k a - - u h
158	Miskito	15.1576	-84.2942	misk1235	Misumalpan	ASH	yampus	j a m p u s	4	j a m p u s
260	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BARK	kuta	k u t a	199	k u t a -
261	Mayangna	14.13	-84.34	maya1285	Misumalpan	BARK	utak	u t a k	199	- u t a k
262	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BARK	utak	u t a k	199	- u t a k
263	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BARK	dus_taya	d u s + t a y a	0	
18	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BIG	bajaka	b a j a k a	7	
70	Mayangna	14.13	-84.34	maya1285	Misumalpan	BIG	nuhni	n u h n i	8	
122	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BIG	sikka	s i k a	10	
160	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BIG	tara	t a r a	9	
3	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BIRD	wasiri	w a s i r i	11	
55	Mayangna	14.13	-84.34	maya1285	Misumalpan	BIRD	uhbin	u h b i n	12	
107	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BIRD	di: baka	d iː + b a k a	14	
161	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BIRD	tnawira	t n a w i r a	13	
27	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BITE	api	a p i	15	
79	Mayangna	14.13	-84.34	maya1285	Misumalpan	BITE	kas	k a s	16	k a s
131	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BITE	kas	k a s	16	k a s
162	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BITE	samaia	s a m a i a	17	
29	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BLACK	mulka	m u l k a	19	
