doculect	latitude	longitude	glottocode	family	concept	form	tokens
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	BLOOD	eema	eː m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	MOUTH	eng+aatong	e ŋ + aː t o ŋ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	HEAD	em+pa'tec	e m + p a ʔ t e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	HAND	eng+mec	e ŋ + m e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	EAR	eng+haycoc	e ŋ + h ai k o k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	RED	ac+yelhvas+eem	a k + j e ɬ w a s + eː m
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	RED	cas	k a s
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	SEE	neng+vet+ay'	n e ŋ + w e t + ai ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	SEE	neng+vet+ay'+o	n e ŋ + w e t + ai ʔ + o
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	HUSBAND	en+taava'	e n + t aː w a ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	HUSBAND	nen+lhaalhma	n e n + ɬ aː ɬ m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	WIFE	en+taava'	e n + t aː w a ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	WIFE	nen+lhaalhma	n e n + ɬ aː ɬ m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	HEAR	neng+leng+ay'	n e ŋ + l e ŋ + ai ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	BIRD	anaata	a n aː t a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	FISH	quelasma	k e l a s m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	LOUSE	peetem	p eː t e m
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	DOG	semheng	s e m h e ŋ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	TONGUE	eng+alhcoc	e ŋ + a ɬ k o k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	BREAST	neme	n e m e
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	WING	a+lhempenec	a + ɬ e m p e n e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	WING	a+lhempancoc	a + ɬ e m p a ŋ k o k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	BACK	eng+capoc	e ŋ + k a p o k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	BONE	eng+elhcapoc	e ŋ + e ɬ k a p o k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	LEG	eng+yoc	e ŋ + j o k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	FOOT	eng+menec	e ŋ + m e n e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	HEART	yepheem	j e pʰ eː m
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	SLEEP	nen+teyan+ma	n e n + t e j a n + m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	TAIL	aypacyec	ai p a k j e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	KILL	neng+a'heem	n e ŋ + a ʔ h + eː m
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	KILL	neng+elnap+ma	n e ŋ + e l + n a p + m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	KILL	neng+yamongquelh+ma	n e ŋ + j a m o ŋ k e ɬ + m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	SKIN	eng+yempehec	e ŋ + j e m p e h e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	FEATHER	aa+va'	aː + w a ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	FEATHER	anaata '+va'	a n aː t a + w a ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	EARTH (SOIL)	lhoop'actec	ɬ oː pˀ a k t e k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	EARTH (SOIL)	naalhpop	n aː ɬ p o p
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	EARTH (SOIL)	amyep	a m j e p
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	FOUR	nooc-nekha'	n oː k + n e kʰ a ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	YELLOW	ac+yaatec+tama	a k + j aː t e k t a + m a
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	YELLOW	tap	t a p
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	FLY (MOVE THROUGH AIR)	neng+emp+ay'	n e ŋ + e m p ai ʔ
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	ROOT	avhac	a w h a k
Enlhet	-22.54	-58.98	nort2971	Lengua-Mascoy	ROOT	ayquepmenec	ai k e p m e n e k
