doculect	latitude	longitude	family	n
Kaluli	-6.45932	142.788	Bosavi	66
Beami	-6.14949	142.508	Bosavi	75
Onabasulu	-6.30876	142.776	Bosavi	83
Kasua	-6.64861	142.993	Bosavi	92
Playero	6.90948	-71.0036	Guahiboan	80
Jitnu	6.34582	-71.2671	Guahiboan	81
Guayabero	2.8969	-71.844	Guahiboan	90
Guahibo	5.81736	-68.9839	Guahiboan	113
Cuiba	6.19829	-69.8197	Guahiboan	115
Cacaopera	13.74	-88.11	Misumalpan	52
Mayangna	14.13	-84.34	Misumalpan	52
Ulwa	12.93	-83.58	Misumalpan	52
Miskito	15.1576	-84.2942	Misumalpan	86
Kanuri (Manga)	13.557	10.701	Saharan	53
Kanembu	13.8749	14.8437	Saharan	99
Kanuri	12	13	Saharan	112
Songhay (Koyra Chiini)	16.192	-3.73962	Songhay	52
Songhai_Senni	15.28	-1.7	Songhay	55
Zarma	12.8554	2.41173	Songhay	83
Nanai	48.43	134.8	Tungusic	86
Evenki	65.75	105.3	Tungusic	98
Oroqen	51.2829	126.111	Tungusic	105
Manchu	47.31	126.56	Tungusic	114
