ID,Name,Concepticon_ID,Concepticon_Gloss
7_fire,FIRE,221,FIRE
12_earthsoil,EARTH (SOIL),1228,EARTH (SOIL)
21_kill,KILL,1417,KILL
26_good,GOOD,1035,GOOD
45_man,MAN,1554,MAN
69_water,WATER,948,WATER
71_woman,WOMAN,962,WOMAN
96_hand,HAND,1277,HAND
98_house,HOUSE,1252,HOUSE
99_eat,EAT,1336,EAT
138_sun,SUN,1343,SUN
140_head,HEAD,1256,HEAD
141_tooth,TOOTH,1380,TOOTH
143_sleep,SLEEP,1585,SLEEP
228_bad,BAD,1292,BAD
279_black,BLACK,163,BLACK
386_white,WHITE,1335,WHITE
388_one,ONE,1493,ONE
389_two,TWO,1498,TWO
541_eye,EYE,1248,EYE
543_ear,EAR,1247,EAR
552_red,RED,156,RED
564_stick,STICK,1295,STICK
733_moon,MOON,1313,MOON
742_tongue,TONGUE,1205,TONGUE
755_three,THREE,492,THREE
962_tobacco,TOBACCO,974,TOBACCO
972_stone,STONE,857,STONE
1048_jaguar,JAGUAR,1250,JAGUAR
1314_maize,MAIZE,506,MAIZE
