DOCULECT	CONCEPT	FORM	NOTE
Morike	TONGUE	pimĩn	Zunge
Morike	TOOTH	pas	Zahn
Morike	EYE	piṓki̯	Auge
Morike	EAR	pʋái	Ohr
Morike	HEAD	pʋṓko	Kopf
Morike	HAND	piṓ	Hand
Morike	WATER	ōn	Wasser
Morike	FIRE	aškṓmi	Feuer
Morike	SUN	njṓki	Sonne
Morike	MOON	stā́ka	Mond
Morike	EARTH (SOIL)	pṓtonǒ	Erde (Erdboden)
Morike	STONE	melī́tš	Stein
Morike	HOUSE	anár	Haus (Wohn-)
Morike	COOKING POT	káutoro	Topf (Koch-)
Morike	MAN	tsaná	Mann
Morike	WOMAN	šitǒ́	Frau
Morike	JAGUAR	astsá	Jaguar
Morike	TAPIR	háwuits	Tapir
Morike	CAIMAN	kašiṓ	Kaiman
Morike	STICK	atá	Stock
Morike	MANIOC	konǒ	Maniok
Morike	MAIZE	náši	Mais
Morike	PLANT	sínkoyi	Plante (French?)
Morike	TOBACCO	porṓts	Tabak
Morike	ONE	akápastoi	eins
Morike	TWO	šikará	zwei
Morike	THREE	šikabená	drei
Morike	WHITE	paškašemarú	weiß
Morike	BLACK	paskšómašišo	schwarz
Morike	RED	kurápuits	rot
Morike	GOOD	ontí	gut
Morike	BAD	nhamašišo	schlecht
Morike	EAT	pinšínari	essen
Morike	SLEEP	yamáktso	schlafen
Morike	KILL	tidjóktstets	töten
