doculect	latitude	longitude	glottocode	family	concept	form	tokens
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TONGUE	peébato	p e e b a t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	MOUTH	pekoibóto	p e k o i b o t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TOOTH	pewáno	p e w a n o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NOSE	pepoxónto	p e p o x o n t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	EYE	peitamaikéito	p e i t a m a i k e i t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	EYE	petakuereto	p e t a k u e r e t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	EAR	pemuxujoróto	p e m u x u j o r o t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NECK	peusíto	p e u s i t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NECK	pewisíto	p e w i s i t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BREAST	pemíto	p e m i t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BACK	péi̵ma	p e ɨ m a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BACK	pehúma	p e h u m a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	UPPER LEG (THIGH)	petʰí̵to	p e tʰ ɨ t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	KNEE	pentabókoto	p e n t a b o k o t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SKIN	pepari̵to	p e p a r ɨ t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BONE	píwa	p i w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BLOOD	pehána	p e h a n a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	OLD	pérun	p e r u n
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	OLD	ámo	a m o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	OLD	pénapataein	p e n a p a t a e i n
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WATER	méra	m e r a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FIRE	iʃóto	i ʃ o t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FIRE	ishoto náwa	i s h o t o + n a w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ASH	ipúna	i p u n a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SMOKE (EXHAUST)	múrei	m u r e i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SMOKE (EXHAUST)	íʃo tsí̵xi̵	i ʃ o + ts ɨ x ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	RAIN (PRECIPITATION)	éma	e m a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WIND	hóibo	h o i b o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	STAR	opitéito	o p i t e i t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NIGHT	médawi	m e d a w i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NIGHT	médiwi	m e d i w i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	EARTH (SOIL)	íra	i r a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SAND	táetowa	t a e t o w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	HOUSE	bó	b o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	HOUSE	bómi̵xi̵	b o m ɨ x ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	DOG	áudi	a u d i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	DOG	áuri	a u r i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TAIL	pebosóto	p e b o s o t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TAIL	petobeno	p e t o b e n o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TAIL	cola de pez	c o l a + d e + p e z
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BIRD	pejapupúnaein	p e j a p u p u n a e i n
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FISH	duwéi	d u w e i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FISH	báxu	b a x u
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FLY (INSECT)	déinato	d e i n a t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	LOUSE	tári̵	t a r ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ANT	pí̵wi̵	p ɨ w ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ANT	nébi̵	n e b ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ANT	jáiwato	j a i w a t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ANT	íni	i n i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ANT	tobínto	t o b i n t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	LEAF	noxúto	n o x u t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ROOT	petabopína	p e t a b o p i n a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SALT	sáre	s a r e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ONE	káe	k a e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ONE	káewa	k a e w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	I	xan	x a n
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	THOU	xam	x a m
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BIG	pínjo	p i n j o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BIG	pínwa	p i n w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SMALL	tsikíjo	ts i k i j o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SMALL	tsiwíjo	ts i w i j o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	GOOD	wí̵nae	w ɨ n a e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	GOOD	xánepana	x a n e p a n a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BLACK	tsáebia	ts a e b i a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	THIS	méhe	m e h e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	THIS	xuáhe	x u a h e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WHO	híntam	h i n t a m
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WHAT	éta xuá	e t a + x u a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WHAT	xuá	x u a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WHAT	éxua	e x u a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NOT	bára	b a r a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NOT	húme	h u m e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	LONG	apíja	a p i j a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	LONG	apía	a p i a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FLESH OR MEAT	pewíto	p e w i t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	EGG	petóuto	p e t o u t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	HORN (ANATOMY)	pentéto	p e n t e t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	LIVER	pehápato	p e h a p a t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	DRINK	ápa	a p a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	EAT	xáne	x a n e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BITE	síne	s i n e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SEE	táne	t a n e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SEE	nekóta	n e k o t a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	HEAR	humetáne	h u m e t a n e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	COME	páta	p a t a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	COME	wérena	w e r e n a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	GIVE	dóuta	d o u t a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	GIVE	káta	k a t a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	GIVE	hehépa	h e h e p a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SAY	humíʧi	h u m i tʃ i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SAY	páeba	p a e b a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SAY	namchi	n a m c h i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SAY	kueikuéihei	k u e i k u e i h e i
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	RED	tsóbia	ts o b i a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NEW	penáwa	p e n a w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NAME	péwi̵n	p e w ɨ n
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WING	pekuáraɸe	p e k u a r a ɸ e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	NAVEL	petompakuéto	p e t o m p a k u e t o
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	IN	tʰá	tʰ a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WIDE	apipíja	a p i p i j a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	WIDE	peréka	p e r e k a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FAR	táhi̵	t a h ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	THICK	pínwa	p i n w a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	THICK	áitiji̵	a i t i j ɨ
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	HEAVY	aréwe	a r e w e
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TIE	kí̵ta	k ɨ t a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	TIE	kí̵ba	k ɨ b a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FALL	hópa	h o p a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FALL	óthopa	o t h o p a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FALL	hopéika	h o p e i k a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	FALL	de arriba	d e + a r r i b a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	SUCK	tsutsúba	ts u ts u b a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	BLOW (OF WIND)	opʰúba	o pʰ u b a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ROPE	búmaka	b u m a k a
Cuiba	6.19829	-69.8197	cuib1242	Guahiboan	ROPE	pemí̵to	p e m ɨ t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	TONGUE	pee:bári̵to	p eː b a r ɨ t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	MOUTH	pekuáibo	p e k u a i b o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	MOUTH	pekuíbo	p e k u i b o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	TOOTH	pewónoto	p e w o n o t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	NOSE	pepúmu:	p e p u m uː
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	EYE	pi:taxú:to	p iː t a x uː t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	EAR	pemuxujóroto	p e m u x u j o r o t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	NECK	pewi̵:sí:to	p e w ɨː s iː t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	BREAST	pemí:to	p e m iː t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	BACK	pihúma	p i h u m a
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	BACK	pekoɸé:ɸere	p e k o ɸ eː ɸ e r e
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	UPPER LEG (THIGH)	petopatʰái̵to	p e t o p a tʰ a ɨ t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	UPPER LEG (THIGH)	petʰái̵to	p e tʰ a ɨ t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	KNEE	pemátabaka	p e m a t a b a k a
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	SKIN	peperabĩ̵́to	p e p e r a b ɨ̃ t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	BONE	pesí:to	p e s iː t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	BLOOD	pehána	p e h a n a
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	BLOOD	pihána	p i h a n a
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	OLD	perúhuni̵:	p e r u h u n ɨː
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	WATER	mé:ra:	m eː r aː
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	FIRE	isóto	i s o t o
Guahibo	5.81736	-68.9839	guah1255	Guahiboan	FIRE	náwa	n a w a
