ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
157	Miskito	15.1576	-84.2942	misk1235	Misumalpan	ANT	papu_satka_nani	p a p u + s a t k a + n a n i	1 7 1 7 9 3 7 1 1 7 9 4 7 4 7	AXBZ_AXMBZ_AXBZ	PAPY_SATKA_NANI	3	3.P.C 3.A.V 3.P.C 3.Y.V 3._._ 3.S.C 3.A.V 3.T.c 3.K.C 3.A.V 3._._ 3.N.C 3.A.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 1.75 0.8	papu+satka+nani	0	1	
9	Cacaopera	13.74	-88.11	caca1247	Misumalpan	ASH	wabu	w a b u	6 7 1 7	AXBZ	WAPY	1	1.W.C 1.A.V 1.P.C 1.Y.V	2.0 1.5 1.75 0.8	wabu	0	4	w a - b u -
61	Mayangna	14.13	-84.34	maya1285	Misumalpan	ASH	wan	w a n	6 7 4	AXN	WAN	2	2.W.C 2.A.V 2.N.c	2.0 1.5 0.8	wan	0	4	w a n - - -
113	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	ASH	kauh	k a u h	1 7 7 3	AXYN	KAYH	4	4.K.C 4.A.V 4.Y.V 4.H.c	2.0 1.5 1.3 0.8	kauh	0	5	
158	Miskito	15.1576	-84.2942	misk1235	Misumalpan	ASH	yampus	j a m p u s	6 7 4 1 7 3	AXMBYN	JAMPYS	3	3.J.C 3.A.V 3.M.c 3.P.C 3.Y.V 3.S.c	2.0 1.5 1.1 1.75 1.3 0.8	jampus	0	4	j a m p u s
159	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BACK	won_nina	w o n + n i n a	6 7 4 9 4 7 4 7	AXN_AXBZ	WUN_NINA	3	3.W.C 3.U.V 3.N.c 3._._ 3.N.C 3.I.V 3.N.C 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	won+nina	0	6	
18	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BIG	bajaka	b a j a k a	1 7 6 7 1 7	AXBYBZ	PAJAKA	1	1.P.C 1.A.V 1.J.C 1.A.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bajaka	0	7	
70	Mayangna	14.13	-84.34	maya1285	Misumalpan	BIG	nuhni	n u h n i	4 7 3 4 7	AXBCZ	NYHNI	2	2.N.C 2.Y.V 2.H.C 2.N.C 2.I.V	2.0 1.5 1.75 1.5 0.8	nuhni	0	8	
122	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BIG	sikka	s i k a	3 7 1 7	AXBZ	SIKA	4	4.S.C 4.I.V 4.K.C 4.A.V	2.0 1.5 1.75 0.8	sika	0	10	
160	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BIG	tara	t a r a	1 7 5 7	AXBZ	TARA	3	3.T.C 3.A.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	tara	0	9	
