Grapheme	IPA	Frequence	Codepoints
i	i	16	U+0069
a	a	16	U+0061
š	ʃ	13	U+0161
p	p	12	U+0070
k	k	12	U+006b
n	n	8	U+006e
t	t	8	U+0074
m	m	7	U+006d
á	!á/a	7	U+00e1
o	o	7	U+006f
ṓ	o	6	U+1e53
e	e	4	U+0065
r	r	4	U+0072
ts	ts	4	U+0074 U+0073
s	s	3	U+0073
ʋ	ʋ	2	U+028b
j	j	2	U+006a
ó	!ó/o	2	U+00f3
u	u	2	U+0075
í	!í/i	2	U+00ed
ĩ	ĩ	1	U+0129
i̯	!i̯/i	1	U+0069 U+032f
ō	ō	1	U+014d
ǒ	!ǒ/o	1	U+01d2
l	l	1	U+006c
ī́	!í/i	1	U+012b U+0301
ǒ́	!ó/o	1	U+01d2 U+0301
b	b	1	U+0062
ú	!ú/u	1	U+00fa
nh	n h	1	U+006e U+0068
y	j	1	U+0079
d	d	1	U+0064
