DOCULECT	CONCEPT	FORM	NOTE
Morike	tongue	pimĩn	Zunge
Morike	tooth	pas	Zahn
Morike	eye	piṓki̯	Auge
Morike	ear	pʋái	Ohr
Morike	head	pʋṓko	Kopf
Morike	hand	piṓ	Hand
Morike	water	ōn	Wasser
Morike	fire	aškṓmi	Feuer
Morike	sun	njṓki	Sonne
Morike	moon	stā́ka	Mond
Morike	earth (soil)	pṓtonǒ	Erde (Erdboden)
Morike	stone	melī́tš	Stein
Morike	house	anár	Haus (Wohn-)
Morike	cooking pot	káutoro	Topf (Koch-)
Morike	man	tsaná	Mann
Morike	woman	šitǒ́	Frau
Morike	jaguar	astsá	Jaguar
Morike	tapir	háwuits	Tapir
Morike	caiman	kašiṓ	Kaiman
Morike	stick	atá	Stock
Morike	manioc	konǒ	Maniok
Morike	maize	náši	Mais
Morike	plant	sínkoyi	Plante (French?)
Morike	tobacco	porṓts	Tabak
Morike	one	akápastoi	eins
Morike	two	šikará	zwei
Morike	three	šikabená	drei
Morike	white	paškašemarú	weiß
Morike	black	paskšómašišo	schwarz
Morike	red	kurápuits	rot
Morike	good	ontí	gut
Morike	bad	nhamašišo	schlecht
Morike	eat	pinšínari	essen
Morike	sleep	yamáktso	schlafen
Morike	kill	tidjóktstets	töten
